Actinidia arguta
Agastache rugosa
Akebia quinata
Akebia quinata
Allium ramosum
Allium schoenoprasum
Allium ursinum
Alnus cordata
Althea officinalis
Amaranthus caudatus
Amelanchier lamarckii
Amorpha fruticosa
Angelica keiskei
Aralia cordata
Arbutus unedo
Armoracia rusticana
Aronia prunifolia
Asimina triloba
Basella alba
Buddleja davidii
Calycanthus floridus
Caragana arborescens
Casuarina equisetifolia
Celtis australis
Centella asiatica
Ceratonia siliqua
Cercis siliquastrum
Chaenomeles speciosa
Cichorium intybus
Citrus aurantifolia
Citrus limon
Citrus sinensis
Cornus mas
Corylus avelana
Crambe maritima
Crambe maritima
Crataegus monogyna
Crithmum maritimum
Cydonia oblonga
Cytisus striatus
Debregeasia edullis
Decaisnea fargesii
Diospyros kaki
Elaeagnus angustifolia
Elaeagnus multiflora
Elaeagnus umbellata
Elaeagnus umbellata
Elaeagnus x ebbingei
Eryobotrea japonica
Eugenia uniflora
Feijoa sellowiana
Ficus habrophyla
Fragaria moschata
Fraxinus angustifolia
Galium odoratum
Gunnera manicata
Halesia carolina
Hippophae rhamnoides
Humulus lupulus
Jacaranda mimosifoila
Juglans cinerea
Laurus nobilis
Ligustrum vulgare
Lonicera caerulea
Lycium ruthenicum
Malus domestica
Matteuccia struthiopteris
Medicago sativa
Mentha requienii
Metrosideros excelsa
Morus alba
Olea europaea
Origanum vulgare
Passiflora manicata
Passiflora morifolia
Passiflotra edulis
Paulownia elongata
Paulownia tomentosa
Perilla frutescens
Persea americana
Petasites japonicus
Phillyrea angustifolia
Phormium tenax
Pistacia lentiscus
Plantago lanceolata
Prunus armeniaca
Prunus avium
Prunus domestica
Prunus domestica
Prunus spinosa
Psidium cattleyanum
Psidium guajava
Punica granatum
Pyracantha coccinea
Pyrus communis
Pyrus pyrifolia
Quercus robur
Quercus suber
Rheum rhaponticum
Rhus trilobata
Robinia pseudoacacia
Rubus illecebrosus
Sambucus nigra
Saponaria officinalis
Sicana odorifera
Sinapis alba
Solanum abutiloides
Solanum betaceum
Solanum muricatum
Sorbus aria
Sorbus aucuparia
Sorbus domestica
Sorbus terminalis
Staphylea colchica
Symphytum azureum
Syzygium cumini
Tagetes lucida
Tetragonia tetragonioides
Viburnum tinus
Yuca filamentosa
Zanthoxylum americanum
