Actinidia arguta, http://t3.gstatic.com/licensed-image?q=tbn:ANd9GcR_AiS9-mgio6fgfI1M3qoeJG6QNGopPid4F-WGtD5PqptzBeOUNy7t5JQ4e1jSR5tcOJ47AvCpNDidqSE
Agastache rugosa, http://t1.gstatic.com/licensed-image?q=tbn:ANd9GcSQlzIek4jSYE4r6XB00ZL_FV8ZycCL6W0h_cYnCLV3HgIu6Er8D3cG734U899B2s5ZMPsja0eLD9YyHAU
Akebia quinata, http://t0.gstatic.com/licensed-image?q=tbn:ANd9GcRBM0v2LgKacE6kshqfnno3X-CO4rbY340URoF8J1y-P5jWP84TDF45brkGEi_mdnOyY6QkrPdja6Z_0mE
Allium ramosum, https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.saatgut-vielfalt.de%2Fproduct.php%3Fproducts_id%3D911344&psig=AOvVaw3esq27ictdt27MTc8cSGVC&ust=1670338164685000&source=images&cd=vfe&ved=0CBAQjRxqFwoTCIj0z9jc4vsCFQAAAAAdAAAAABAX
Allium schoenoprasum, https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.tuinadvies.nl%2Fplantengids%2F1151%2Fallium-schoenoprasum&psig=AOvVaw1Gw68Mq1Z_4I7GSNRKrjgo&ust=1670338243540000&source=images&cd=vfe&ved=0CA8QjRxqFwoTCJjvz_3c4vsCFQAAAAAdAAAAABAE
Allium ursinum, http://t3.gstatic.com/licensed-image?q=tbn:ANd9GcRJdhgWNCtJDvw50p0ZDZeIgO467MztmS22jyTKbehPacriV4fDJicGWkRI3-Iu23dVgst4McvxB554j2M
Alnus cordata, https://www.vdberk.nl/media/7670/alnus_cordata_1-1.jpg
Althea officinalis, http://t1.gstatic.com/licensed-image?q=tbn:ANd9GcQ4y0fBsh1wmFuRNhlhKCEhzkVG5nPbbwsLLrYvA-slmIEaVbz_nx1W0nlvUAkTqXKY52op3gNa9QkPZbM
Amaranthus caudatus, http://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSV2XkhkKfhbN0_v7Lx_0NMrDwE-RnY7i3Hadb-C0bUlUND1k-PfTp6sXQRQOg3BTWJqWF0mmgmqzEitsQ
Amelanchier lamarckii, http://t2.gstatic.com/licensed-image?q=tbn:ANd9GcQk20uNpBDc0o4CAjV73HeqKQDFWdE0HKJGv4v-ixEZnrUnpo1-CxPbzzTIY3-4tykCLr-VSFbo0IYRdTM
Amorpha fruticosa, http://t3.gstatic.com/licensed-image?q=tbn:ANd9GcTVJt8uSHlvdcGz_m1xQ8LszMImktuglmv4-ccyfqlKuGLqGqWD6AitZf7RJ7T4u5bWkv_O1-3yWBg32aU
Angelica keiskei, http://t3.gstatic.com/licensed-image?q=tbn:ANd9GcQ2E_hyH6M3FjwYAHrWlqyWDneLvzAnveZ0IwZ9z3Qs53xMYHwpQnqnTO4kBThHuJVN0hwevHjn021uEls
Aralia cordata, http://t3.gstatic.com/licensed-image?q=tbn:ANd9GcStVM57AAiEzX6rOe5XQMDKmP17NGyWi6dIm4xPkVK5MybxMRJ17kWAV8M06O7pXKNY_I2awZu6MNQwB4E
Arbutus unedo, 
Armoracia rusticana
Aronia prunifolia
Asimina triloba
Basella alba
Buddleja davidii
Calycanthus floridus
Caragana arborescens
Casuarina equisetifolia
Celtis australis
Centella asiatica
Ceratonia siliqua
Cercis siliquastrum
Chaenomeles speciosa
Cichorium intybus
Citrus aurantifolia
Citrus limon
Citrus sinensis
Cornus mas
Corylus avelana
Crambe maritima
Crambe maritima
Crataegus monogyna
Crithmum maritimum
Cydonia oblonga
Cytisus striatus
Debregeasia edullis
Decaisnea fargesii
Diospyros kaki
Elaeagnus angustifolia
Elaeagnus multiflora
Elaeagnus umbellata
Elaeagnus umbellata
Elaeagnus x ebbingei
Eryobotrea japonica
Eugenia uniflora
Feijoa sellowiana
Ficus habrophyla
Fragaria moschata
Fraxinus angustifolia
Galium odoratum
Gunnera manicata
Halesia carolina
Hippophae rhamnoides
Humulus lupulus
Jacaranda mimosifoila
Juglans cinerea
Laurus nobilis
Ligustrum vulgare
Lonicera caerulea
Lycium ruthenicum
Malus domestica
Matteuccia struthiopteris
Medicago sativa
Mentha requienii
Metrosideros excelsa
Morus alba
Olea europaea
Origanum vulgare
Passiflora manicata
Passiflora morifolia
Passiflotra edulis
Paulownia elongata
Paulownia tomentosa
Perilla frutescens
Persea americana
Petasites japonicus
Phillyrea angustifolia
Phormium tenax
Pistacia lentiscus
Plantago lanceolata
Prunus armeniaca
Prunus avium
Prunus domestica
Prunus domestica
Prunus spinosa
Psidium cattleyanum
Psidium guajava
Punica granatum
Pyracantha coccinea
Pyrus communis
Pyrus pyrifolia
Quercus robur
Quercus suber
Rheum rhaponticum
Rhus trilobata
Robinia pseudoacacia
Rubus illecebrosus
Sambucus nigra
Saponaria officinalis
Sicana odorifera
Sinapis alba
Solanum abutiloides
Solanum betaceum
Solanum muricatum
Sorbus aria
Sorbus aucuparia
Sorbus domestica
Sorbus terminalis
Staphylea colchica
Symphytum azureum
Syzygium cumini
Tagetes lucida
Tetragonia tetragonioides
Viburnum tinus
Yuca filamentosa
Zanthoxylum americanum
